epoch,train_loss,val_loss,val_accuracy,val_f1_score
1,0.15681170254442353,0.13389524388313293,0.5106666666666667,0.6806477302893549
2,0.10662985097074318,0.10864699510733286,0.5686666666666667,0.7501567005139776
3,0.09406237754844386,0.10052081604798635,0.5946666666666667,0.7873420710827724
4,0.08586446826308546,0.10023054397106171,0.5913333333333334,0.7840562719812427
5,0.07963642486268846,0.09639325300852458,0.6206666666666667,0.7954949614700652
6,0.0736917488995632,0.09337809071938197,0.624,0.8100081842628317
7,0.06908409769847881,0.09492659666140875,0.6136666666666667,0.805603006491288
8,0.06403324310912753,0.09690832010904948,0.619,0.8071833648393195
9,0.06003839633878663,0.10556709561745325,0.5796666666666667,0.7912232583653319
10,0.05520210501067655,0.10483962959051132,0.6156666666666667,0.7975152311551786
11,0.050972337437251845,0.10422707875569662,0.6166666666666667,0.8033816977036444
12,0.04768663385968806,0.10852495618661245,0.6176666666666667,0.8067974452554745
13,0.042542459179642715,0.12076267643769582,0.602,0.7936043238374056
14,0.03881388254974803,0.11047846009333928,0.615,0.8075862829418899
