epoch,train_loss,val_loss,val_accuracy,val_f1_score
1,0.4965442479570842,0.2921217973232269,0.328,0.5195384211906635
2,0.14822770760472323,0.12410498891274134,0.5383333333333333,0.7220962459057697
3,0.10764898993223927,0.12130773282051087,0.5663333333333334,0.7440528085689376
4,0.09368023305694198,0.11108974705139796,0.5876666666666667,0.7769447047797563
5,0.08549121140347425,0.09758694918950399,0.6153333333333333,0.7949770586814779
6,0.07968184672177925,0.099586483558019,0.6193333333333333,0.8006066970015168
7,0.07468186004137282,0.13423868529001873,0.578,0.7531504818383988
8,0.07318488977201464,0.09322034458319346,0.622,0.8102088167053364
9,0.06567802665908878,0.09678491824865341,0.618,0.8060112423999082
10,0.06201568305722023,0.10050744136174519,0.6173333333333333,0.8095835710211067
11,0.05733440841848558,0.10316306589047114,0.6263333333333333,0.8100890207715133
12,0.05411182491227174,0.09423370361328125,0.6386666666666667,0.8235023571346441
13,0.049485584139461816,0.09910504150390625,0.6493333333333333,0.8230653208028773
14,0.04853182551083273,0.12278830244143804,0.637,0.8098174057386768
15,0.04576125052469292,0.12080467528104782,0.552,0.7779643231899266
16,0.038239188999564654,0.12522553197542827,0.629,0.8101146165662295
17,0.03570723133116126,1.3588770589828492,0.012333333333333333,0.21196924105650283
18,0.032256968647014175,0.21080882732073467,0.567,0.7596806862861909
19,0.030174878709198175,0.13223886015017827,0.6253333333333333,0.811314324662047
20,0.026189578211345942,0.13724440709749858,0.579,0.7791529465198138
